城市shapefile,City,Lat,Long,tarl_2011,trev_2011,dmarl_2011,dmrev_2011,inarl_2011,inrev_2011,CPIpy_2011,CPI11_2011,hprice_2011,emphotel_2011,GDP_2011,GDPpc_2011,slry_2011,pop_2011,area_2011,road_2011,terti_2011,invest_2011,forncap_2011,bus_2011,taxi_2011,hotel_2011,spot5A_2011,scenum_2011,subnum_2011,grnld_2011,tarl_2012,trev_2012,dmarl_2012,dmrev_2012,inarl_2012,inrev_2012,CPIpy_2012,CPI11_2012,hprice_2012,emphotel_2012,GDP_2012,GDPpc_2012,slry_2012,pop_2012,area_2012,road_2012,terti_2012,invest_2012,forncap_2012,bus_2012,taxi_2012,hotel_2012,spot5A_2012,scenum_2012,subnum_2012,grnld_2012,tarl_2013,trev_2013,dmarl_2013,dmrev_2013,inarl_2013,inrev_2013,CPIpy_2013,CPI11_2013,hprice_2013,emphotel_2013,GDP_2013,GDPpc_2013,slry_2013,pop_2013,area_2013,road_2013,terti_2013,invest_2013,forncap_2013,bus_2013,taxi_2013,hotel_2013,spot5A_2013,scenum_2013,subnum_2013,grnld_2013,tarl_2014,trev_2014,dmarl_2014,dmrev_2014,inarl_2014,inrev_2014,CPIpy_2014,CPI11_2014,hprice_2014,emphotel_2014,GDP_2014,GDPpc_2014,slry_2014,pop_2014,area_2014,road_2014,terti_2014,invest_2014,forncap_2014,bus_2014,taxi_2014,hotel_2014,spot5A_2014,scenum_2014,subnum_2014,grnld_2014,tarl_2015,trev_2015,dmarl_2015,dmrev_2015,inarl_2015,inrev_2015,CPIpy_2015,CPI11_2015,hprice_2015,emphotel_2015,GDP_2015,GDPpc_2015,slry_2015,pop_2015,area_2015,road_2015,terti_2015,invest_2015,forncap_2015,bus_2015,taxi_2015,hotel_2015,spot5A_2015,scenum_2015,subnum_2015,grnld_2015,tarl_2016,trev_2016,dmarl_2016,dmrev_2016,inarl_2016,inrev_2016,CPIpy_2016,CPI11_2016,hprice_2016,emphotel_2016,GDP_2016,GDPpc_2016,slry_2016,pop_2016,area_2016,road_2016,terti_2016,invest_2016,forncap_2016,bus_2016,taxi_2016,hotel_2016,spot5A_2016,scenum_2016,subnum_2016,grnld_2016,tarl_2017,trev_2017,dmarl_2017,dmrev_2017,inarl_2017,inrev_2017,CPIpy_2017,CPI11_2017,hprice_2017,emphotel_2017,GDP_2017,GDPpc_2017,slry_2017,pop_2017,area_2017,road_2017,terti_2017,invest_2017,forncap_2017,bus_2017,taxi_2017,hotel_2017,spot5A_2017,scenum_2017,subnum_2017,grnld_2017,tarl_2018,trev_2018,dmarl_2018,dmrev_2018,inarl_2018,inrev_2018,CPIpy_2018,CPI11_2018,hprice_2018,emphotel_2018,GDP_2018,GDPpc_2018,slry_2018,pop_2018,area_2018,road_2018,terti_2018,invest_2018,forncap_2018,bus_2018,taxi_2018,hotel_2018,spot5A_2018,scenum_2018,subnum_2018,grnld_2018,tarl_2019,trev_2019,dmarl_2019,dmrev_2019,inarl_2019,inrev_2019,CPIpy_2019,CPI11_2019,hprice_2019,emphotel_2019,GDP_2019,GDPpc_2019,slry_2019,pop_2019,area_2019,road_2019,terti_2019,invest_2019,forncap_2019,bus_2019,taxi_2019,hotel_2019,spot5A_2019,scenum_2019,subnum_2019,grnld_2019
襄阳市,Xiangyang,32.0147968046692,112.128537201002,18093.5,11954.0388248,18045.5,11780,48,26.946,100,1,2939.790481,.57,21322200,38671,25768.84,552.72,19728,1498,29.25,10979530,31290,835,1700,34,0,1,0,3575,23537,15076.0356875,23488,14890,49,29.471,102.8,1.028,3504.6728972,1.41,25019600,45167,29119.28,555.14,19728,1388,28.64,15382337,43738,1008,1700,31,0,1,0,4164,28291,18085.9351452,28242,17901,49,29.861,102.9,1.057812,4120.4157678,1.58,28140200,50509.21687936,28493.66,559.12,19724,1588,29,16966359,53746,1145,2100,26,0,1,0,4524,32574,22146.392894,32525,21920,49,36.855,101.5,1.07367918,,1.583,31292600,55924,43470.05,560,19724,1666,29.5,24482900,56946,258,260,,0,1,0,4691,35501,26209.9712132,35448,25980,53,36.923,102,1.0951527636,,1.9071,33821200,60319,48022,561.4,19724,2096.87,31.25,29217800,72780,1363,2172,,0,1,0,5561,39955,29716.8012988,39902,29470,53,37.156,102.2,1.1192461243992,,1.6743,36945100,65662.67,50677,563.9,19724,2161,32.94,31886444,82426,1783,2951,,0,1,0,5832,45464,34046.537562,45410,33840,54,30.59,101.4,1.134915570140789,,1.6885,40649000,71990,58706,565.4,19724,2189,39.04,36753200,91560,1783,2951,,0,1,0,6443,55000,41505.1449088,54945,41290,55,32.512,102.9,1.167828121674872,5507.81867,1.7979,43098000,76125,67488,566.9,19724,2316,38.91,,88015,1505,2200,,0,1,0,6704,60294.2,44866.5869227,60242.2,44698,52,24.4382,102.4,1.195855996595069,,1.9561,48128396.751,84815,69683,568,19728,2346,42.27,,95797,1487,2200,,1,1,0,7392
西宁市,Xining,36.6233846965166,101.784450170508,9810,5599.999999999999,9780,5503.117999999999,30,15,100,1,3437.43,.57,7707043,34743,38443.08,222.8,7665,805.0000000000001,43.08,5280052,4346,1735,5516,49,0,0,0,2785,11270,7500,11240,7347.931875,30,24.09,102.7,1.027,4336.45996614,.48,8510857,38034,44031,224.74,7665,823,44.7,6349821,2920,1867,5516,51,1,0,0,2902,13070,10100,13040,9995.768443999999,30,16.83,103.8,1.066026,4380.34595686,.42,9785300,43346,48691,226.76,7649,886,43.73,9052938,2480,1885,5516,43,1,0,0,3277,14430,12700,14400,12606.875152,30,15.16,102.8,1.095874728,4806.52,1.75,10657811,46762,54181,229.07,7649,913.0000000000001,46.7,11520755,1091,1915,5666,,1,0,0,3467,16070,15600,16031.3,15459.300444,38.69999999999891,22.59,101.5,1.11231284892,4602.31,.3804,11316193,49197,57539,231.08,7660,960.3199999999999,48.66,12680173,6057,2726,6402,,1,0,0,3515,18525.3,19581,18490.3,19437.61997643,35,21.5859,102.1,1.13567141874732,5006.68,.377,12481600,53756,63683,233.37,7660,1033,49.14,13760883,9076,2449,5666,,1,0,0,3872,21382.9,25097,21345.2,24906.3359198,37.69999999999982,28.239,101.8,1.156113504284772,5889.99705,.3793,12849081,54808,72670,235.5,7660,1295,62.35,16000311,12837,1703,5666,,1,0,0,3809,24606.5,31243,24568.4,31080.16100602,38.09999999999945,24.6077,102.7,1.187328568900461,6733.402671,.2753,12864100,54439,82890,237.11,7607,1230,60.04,,11144,1803,5668,,1,0,0,3913,28557.3,37127,28519,36937.7010209,38.29999999999927,27.4406,102.5,1.217011783122972,8730.85380474,.3219,13278157.616,55812,91494,238.71,7607,1699,66.09,,7565,1940,5666,,1,0,0,3845
西安市,Xian,34.3472688166239,108.946465550632,66532.3,52030.09079999999,65530,47890,1002.3,641,100,1,5813.737072,5.02,37917050,45495,41678.81,847.41,10108,5502,51.6,33521200,200522,7654,13839,116,3,1,0,12113,79783.5,64175.66375,78630,59450,1153.5,748.62,102.75467,1.0275467,6203.85475626,5.24,43701620,48530,46688.42,914,10108,6332.79,52.42,41659924,247800,7695,14139,116,3,1,0,13590,101300,79694.9464,100088.9,74728,1211.1,802,102.67917,1.05507642292239,6411.76628996,6.68,49602280,53624,54377.83,936,10097,7017,52.18,50552171,312994,8128,12115,116,3,1,19,15736,120000,95000,,,,,101.43149,1.070179736408882,6086.33,6.69,55769820.00000001,58829,54097.65,960,10097,7200,56.14,58245332,370310,7769,14159,109,3,1,40,16777,136008,107369,,,,,100.73359651,1.078030537605905,6220.32,5.9452,59328610,60912,63193,988,10097,7747.3,59.55,50869319,400833,7781,14459,111,3,1,40,19047,150125.6,121381,,,,,100.88381815,1.087558367159808,6360.74,5.6198,63963570.00000001,63393,69611,1030,10106,7990.36,61.17,50970036,450466,7829,12435,102,3,1,26,20945,180931.4,163330,179180.1,155044,1751.3,1227.23,101.97092435,1.108993319838623,8117.740665,5.6953,74180410,66649.0655885,77774,1134,10753,9829.389999999999,61.83,75564747.3,530681,7780,12435,97,3,1,26,30076,247387.5,255481,,,,,101.9,1.130064192915557,9968.064664,5.3231,84994060,73113,87125,1191,10958,10600.54,61.86,,635370,8743,14212,98,4,1,26,31088,301104.3,314605,,,,,102.7,1.160575926124277,11425.78814,5.1194,93999830,77494,96867,1235,10758,11762.51,63.03,,705738,10179,14763,87,4,1,104,31994
许昌市,Xuchang,34.0414316116187,113.858475536855,7090,3800,7340,3928,10.512,3.29,100,1,2808.95367,.41,15887419,36924,29854.1,429.11,4996,554,21.32,8970397,35901,473,1388,19,0,0,0,2887,8500,4370,8852.200000000001,4832.02,12.364,1.983,102.6,1.026,2985.2446675,.34,17161891,39947.14104489,33805,427.74,4996,596.86,22.62,9383960,43975,564,1385,20,0,0,0,2889,9770,4760,10030.029,5581.38,.529,.064438,102.36373096,1.0502518796496,3567.33070995,.36,19033145.597,44296.60929029,36021.6147819,428.78,4996,605.86,23.32,13711138,53113,550,1396,20,0,0,0,2990,10840,5330,11263.1,6273.02,3.659,2.01,101.9,1.070206665362943,3936.16468,.42,20872312,48471,41474.4,429.16,4979,622,30.39,16372267,59725,689,1396,20,0,0,0,3076,12140,5970,12851.2,7220.25,3.955,2.16,100.9,1.079838525351209,3790.545883,.4886,21711562,50162,43792,427.8100000000001,4997,627.86,33.19,19310816,68090,860,1396,19,0,0,0,3148,15170,7400,14240,8151.66,4.321,1.3646,101.2,1.092796587655424,3959.939467,.5348000000000001,23777133,54522,48235,429.26,4997,684.86,34.35,22637868,71951,839,1396,20,0,0,0,3480,21092,10710,21090,10710,4.611,2.3818,101.4,1.1080957398826,4616.943165,.5181,26329243,59911,53268,430.4,4997,1701.2,40.75,25588300,73054,683,1396,19,0,0,0,3715,29736,19810,23493.5,12938,6.246,,102.0464562,1.130772433853363,5505.594485,.2902,28306218.66,63988,59223,435.55,4997,1790.83,37,,75868,1348,1396,16,0,0,0,3965,31966.2,21355,31966.2,21355,8,,102.95607602,1.164198926611272,5825.39822867,.3061,33734962.86,77381.75467546,64380,436.36,4997,1973.01,37,,79165,1348,1396,16,0,0,0,4233
贵港市,Guigang,23.1174483820375,109.605520310333,7502.047,4972.07173276,7446.2,4858.993,55.847,17.5077,100,1,3184.117737,.01,6308187,15245,28221.14,415.67,10602,731.12,36.07,3838979,21029,221,365,20,0,1,0,1368,9255.585999999999,6703.259856250002,9187.5,6565.7048,68.086,21.7909,103.46808739,1.0346808739,3295.67154679,.01,6791828.042,16280.52505911,29975,418.68,10602,751.53,37.86,4952098,1692,221,365,22,0,1,0,1551,11030.923,8751.688553920001,10951.6,8587.781800000001,79.32299999999999,26.4656,102.73986143,1.063029696087573,3610.52115888,.2,7420090.859,17651.54296526,37843,422.05,10602,779.9000000000001,37.45,4634435,2035,187,365,21,0,1,0,1567,12745.4,10941.031108,12662.5,10753,82.90000000000001,30.61,101.80260659,1.082191939442904,3909.56340956,.1245,8053951.000000001,19004,41303.63,425.5600000000001,10602,787,39.62,5471688,2200,187,365,20,0,1,0,1568,14445.4,13766.40972,14358.5,13562.1182,86.90000000000001,32.8,101.40956324,1.097446119207535,3843.014285,.119,8652035,20240,52653,424.12,10602,815.3499999999999,39.61,6896683,2530,207,365,18,0,1,0,1570,16756.678,17916.25368455,16666,17678.735,90.678,35.7585,101.22071805,1.110842842073726,4019.445103,.1058,9587563.537,22230,55121,425.6899999999999,10602,906.05,39.15,8416886,2910,197,365,15,0,1,0,1574,21003.4,23784.72164,20907.1,23516,96.3,39.8,101.6415408,1.129077780550245,5515.417897,.0763,10821800,24857,61245,427.87,10602,1014.49,46.08,9838100,3405,289,330,14,0,1,0,2343,27435.4,32268.04747086,27333.1,31962,102.3,46.2489,102.98315531,1.16275992431476,5765.08306616,.0597,11698753.53,26635,67934,429.18,10602,1334.01,40.83,,4002,426,380,9,0,1,0,3082,36026.1,43729.57637605,35918.4,43381,107.7,50.5293,104.11107492,1.210561855943075,6044.16255579,.0539,12575300,28451,73816,430.47,10602,1446.78,46.29,,4748,498,517,,0,1,0,3215
贵阳市,Guiyang,26.6533248223097,106.636576763527,52503.8,61230.7065584,52406,60990,97.8,37.268,100,1,4553.036071,2.03,13628000,31712,38672.97,439,8034,1347.6,53.05,16005898,27874,2303,4401,81,0,1,0,20551,63442.081,60273.42629999999,63325.9,59991,116.181,44.7408,102.6,1.026,4452.29938752,2.38,16341600,34931,42974,480.3100000000001,8034,1347.6,53.56,18973500,47415,2299,6511,77,0,1,0,21451,60225.023,72873.89135428,60090.8,72550,134.223,52.2979,103.2,1.058832,4462.87383981,2.35,19966700,40734,50817,500.03,8043,2583.55,55.4,30303811,63000,2286,6463,76,0,1,0,22159,72400.89999999999,87438.80165032001,72255,87091,145.9,56.6194,102.7,1.087420464,4888.79673162,2.2082,22870200,44855,59334,519.71,8043,2611.07,56.57,23360600,76174,2855,7534,,0,1,0,22159,84778,104033.7337748,84619.5,103656,158.5,60.647,102.3,1.112431134672,4947.57281553,1.4378,25643000,48704,63949,533.3,8043,2645,57.17,28044458,92740,3185,7849,,0,1,0,16615,110909.4,138932.93166978,110734.2,138408,175.2,79.0286,101.1,1.124667877153392,5379.33187637,1.3418,28276200,51954,70535,555.2,8043,2643.22,57.06,33807314,111988,3265,8904,,0,1,0,17245,148775.438,187277.33393328,148365.9,186024,409.538,185.6296,101,1.135914555924926,6518.61305136,1.361,32793900,58037,73939,574.9100000000001,8043,2937.48,62.99,,134540,4023,9600,,1,1,0,19517,188462.5,245589.79552344,187921.9,244044,540.6,233.5956,101.7,1.15522510337565,8819.269079780001,1.1119,37984500,64326,82685,583.24,8043,2923.54,58.75,,158906,2989,9539,,1,1,25,19679,229012,309884.76540675,228302.1,307431,709.9,355.6955,102.7,1.186416181166792,9827.218745300001,.9729,40396000,68592,92650,594.62,8043,3040.05,58.98,,178000,3186,11682,,1,1,25,19782
贺州市,Hezhou,24.4094509028654,111.573526314162,6628.352,5470.18182736,6401.2,5061.7454,227.152,63.2372,100,1,1731.428571,.08,3564003,18163,29266.85,197,11855,280.7,31.54,4216260,8277,121,395,20,0,0,0,1138,8118.451,7258.501850000001,7851.2,6776.8581,267.251,76.3,102.84798854,1.0284798854,2233.7393107,.07,3942144.445,19921.89430533,35055,198.73,11855,284.89,31.77,5423678,9000,121,380,20,0,0,0,1273,10300.924,9643.00844356,9991.299999999999,9604.5592,309.624,6.2083,102.00419187,1.049092595647772,2872.79230941,.07,4238481.855,21260.97592093,39006,199.98,11855,309.27,31.84,4518431,6739,137,419,24,0,0,0,1316,12902.4,13158.57039364,12571.7,12496,330.7,107.8613,101.90556524,1.06908373948585,,.07,4483807,22345,43134.54,201.34,11753,316,35.32,5302796,9018,122,454,22,0,0,0,1007,15616.9,16989.8326212,15265.3,16243.7139,351.6,119.793,101.78633722,1.088181180237254,2534.06326,.0722,4681077,23178,55407,198.47,11753,321.18,37.66,6259305,790,174,450,19,0,0,0,1131,18131.744,21734.4616,17755.2,20837.7511,376.544,135,101.35303935,1.102904699805158,2908.500522,.0686,5181900,25498,62110,199.05,11753,444.25,37.67,6508250,1331,206,300,19,0,0,0,1146,22103.8,27261.26971078,21714.7,26284,389.1,144.7421,101.42940673,1.118669693809659,3741.478762,.0466,5488300,26802,65799,199.76,11753,455.5,42.78,7220200,667,352,300,18,0,0,0,1618,32528.3,39623.12453334,32105.8,38490,422.5,171.2341,102.45111516,1.146089576264954,4296.09634551,.0252,6098300,29188,71144,200.34,11753,618.27,44.74,,488,250,240,20,0,0,0,1592,43446.8,56458.76413065,42991.7,55167,455.1,187.2529,103.01688516,1.180665782611598,5103.71389271,.0352,7001100,33676,76481,200.65,11753,781.5400000000001,45.78,,911,264,240,,0,0,0,2144
资阳市,Ziyang,30.1349565592531,104.634435341644,10328.1,8657.118723600001,10301,8620,27.1,5.747,100,1,2900.61316,.11,4185900,16228,31736.47,363.01,7962,409.83,22.86,4552770,3851,195,235,13,0,0,0,1349,14122.9,11461.0375625,14094,11420,28.9,6.501,103.2,1.032,3286.57865787,.11,4700400,18423,,354.2,7960,463.33,22.36,5939273,5500,219,235,13,0,0,0,1453,18601.1,14508.1686916,18572,14470,29.1,6.163,102.9,1.061928,3416.61929616,.11,5075100,20050,39702.52,350.8,7960,469.12,22.85,7299320,4116,230,235,14,0,0,0,1559,26144,18270.34249350094,26107,18203,37,10.96283348,101.8,1.081042704,3824.26710971,.139,5370900,21373,41944.94,347.5,7960,500,23.78,9082217,10480,250,235,14,0,0,0,1611,32044.721,22157.14558524,32005.1,22080,39.621,12.3861,101.5,1.09725834456,3877.922276,.1345,5727600,22824,50455,347.6,7960,545,24.92,8155176,12583,242,438,13,0,0,0,1690,18992.19,14063.06685599156,18970.1,14019,22.09,6.63427668,101.30817756,1.111612431998761,3752.877902,.0682,6438400,25457,55033,240.3,5744,645,29.32,7302505,7252,324,646,7,0,0,0,1822,22454.902,16216.89539132288,22438.5,16189,16.402,4.13154882,101.7748102,1.131341442826344,3967.224922,.0756,6885400,27036,60891,238.4,5744,552,32.35,5941300,10050,242,438,7,0,0,0,1822,25510.493,19009.07425768046,25499.7,18991,10.793,2.73132313,101.58513402,1.149274720918943,4692.232,.0819,7286300,28770,66560,235.1,5744,688,36.77,,8200,242,438,7,0,0,0,1722,26849.756,22010.09576295242,26845.5,22003,4.256,1.02859505,103.50701629,1.189579972598422,5696.91780822,.1003,7773699.999999999,31019,69358,233,5744,694,51.17,,6676,242,438,5,0,0,0,1835
赣州市,Ganzhou,25.8351761034976,114.940503372982,17641.4,13530.966688,17510,13300,131.4,35.76,100,1,4037.171449,.24,13359972,15895,27850.86,845.2071,39379,697.2,35.34,8196111,92862,506,692,54,0,1,0,3322,21972.2,16495.109375,21820,16200,152.2,46.75,102.8,1.028,4659.8087905,.55,15084900,17873,32872.31,850.7974,39379,797.9,37.08,10359054,102445,504,792,56,0,1,0,3341,25911,20706.98329896,25750,20400,161,49.5678,102.4,1.052672,4872.62442428,.5,16733100,19768,40923.8,855.2508,39379,989.7,38.36,13308676,110714,516,1120,59,0,1,0,3545,30957,27225.36808924,30793.7,26914,163.3,50.6883,102.1,1.074778112,5371.954722,.4823,18435921,21708,45112.52,860.5681000000001,39446,1465,38.92,16087685,122204,625,1092,71,0,1,0,5031,37631.284,37013.58951124,37490.7,36695,140.584,51.1511,102.1,1.097348452352,4984.900626,.4732,19738688,23148,50313,866.2308,39363,1734.79,40.93,18922071,137013,695,1088,75,1,1,0,5151,46132.14099999999,51281.53211909,45973.2,50939,158.941,51.5683,102,1.11929542139904,5074.495706,.4704,22071959,25761,55253,873.1695999999999,39363,2253.85,43.21,22055101,151543,1386,1876,73,1,1,0,6157,55895.427,65973.3512142,55718.7,65559,176.727,61.369,102.1,1.14280062524842,6015.051534,.4737,25240100,29308,60337,881.2316999999999,39363,2639.89,49.75,25104751,166738,926,1092,76,1,4,0,8761,69961.3,88515.09029786001,69773.3,88076,188,66.3539,102.05249909,1.166256597682158,6727.993952,.3773,31702800,32429,66875,886.2422,39363,3114.82,45.34,,184420,927,1222,70,1,4,0,9876,83271,107274.1121303,83062.89999999999,106628,208.1,93.6598,102.53633572,1.195836780356027,6858.53500141,.4239,34743400,39968,70640,891.7837,39363,3681.41,49.79,,201182,1050,1230,71,1,4,0,10367
赤峰市,Chifeng,42.2616861034116,118.895520397519,4540.7,6739.40412596,4505.4,6618,35.3,18.7967,100,1,3079.834984,.22,13471906,31121.21233122,38318.51,431.93,90021,830.28,30.72,11150558,3675,446,3773,33,0,0,0,2649,5119.741,8955.19375,5081.9,8822,37.841,21.1,102.7,1.027,3398.3958164,.24,15568200,36070,44531,431.3,90000,1314,29.5,13222892,1132,444,3783,36,0,0,0,3107,5735.4,10522.808456,5695.4,10352,40,27.58,103.7,1.064999,3921.37161877,.42,16861500,39126,47751,430.62,90000,1676,33.43,15674713,1000,574,3251,35,0,0,0,3693,6413.199999999999,13531.442356,6371.7,13324,41.5,33.77,101.8,1.084168982,3964.4836272,.3624,17783716,41309,52152,430.38,90021,2022,36.23,11012770,2112,574,3252,34,0,0,0,3760,7146.5,17258.59345312,7103.2,17039,43.3,35.2568,101.6,1.101515685712,4629.42340026,.3389,18612749,43269,55377,429.95,90021,2174.61,37.7,12721048,8560,622,3788,34,0,0,0,3785,8704.25,21230.44395,8659,20988,45.25,36.5,101.1,1.113632358254832,4787.730006,.3006,19332828.72,44936,59602,430.52,90000,2420.4,37.88,14657846,11217,574,3231,34,0,0,0,3721,11369.882,29306.099442,11324.5,29055,45.382,37.19,101.5,1.130336843628654,4749.14116,.2802,14068000,32641,63809,431.48,90000,2381.71,51.12,,17000,563,3231,34,0,0,0,3790,13245.414,34588.521328,13203.1,34372,42.314,32.72,101.9,1.151813243657599,3487.2218234,.2471,15498000,35819,70637.87321999999,432.18,90000,2449.69,49.5,,38916,616,3231,29,1,0,0,4225,19873.114,42095.5473378,19830.1,41862,43.014,33.8548,102.6,1.181760387992697,3675.36125,.2533,17083785,39488,74323,433.09,90000,2491.41,51.31,,957,683,3784,29,1,0,0,4244
辽源市,Liaoyuan,42.8940550057463,125.150425166887,1176.9,1276.72144796,1176.6,1276,.3,.1117,100,1,2668.523677,.02,5004925,40844,27805.71,122.54,5140,648,31.98,3711637,15848,344,1071,3,0,0,0,1736,1377.5,1610.845875,1377,1610,,.134,102.4,1.024,2663.57308585,.02,6051273,49479,32371,122,5140,501,32.14,4934200,13210,379,1049,3,0,0,0,1765,1594.207,2030.94941756,1593.8,2030,.407,.1533,102.3,1.047552,3285.42094456,.04,7003010,57421,36552,121.92,5140,525,32.55,5016990,25000,384,1049,3,0,0,0,1780,1866.108,2481.03567608,1865.7,2480,.408,.1686,101.9,1.067455488,3335.62058527,.0341,6903093,56467,39462,121.8,5140,525,33,5313782,26334,395,1201,,0,0,0,1809,2161.067,3096.903118,2160.7,3096,.367,.145,102,1.08880459776,3212.224939,.0341,7266404,59855,43872,120.8,5140,531.2299999999999,34.19,5983300,29500,395,1201,,0,0,0,1816,2530.17,3981.08667334,2528.2,3976,1.97,.7658,101.1,1.10078144833536,3623.1836,.0237,7652485,63480,46910,119.8,5140,538.1800000000001,35.09,6584698,32455,376,1201,,0,0,0,1538,3054.839,5018.10216,3052,5010,2.839,1.2,100.8,1.109587699922043,3625.094913,.0252,6686511,55912,50474,117.95,5140,440.32,40.17,6406780,36696,395,1201,,0,0,0,1539,3463.831,6066.25697,3460,6056,3.831,1.55,101.3,1.12401234002103,4147.15542522,.0199,6216011,52861,57948,117.24,5140,440.5,45.52,,207,407,1201,,0,0,0,1541,3921.9,6671.41617,3919,6663,2.9,1.22,103.3,1.161104747241724,3999.47308133,.0252,4103836,35108,63708,116.55,5140,451.78,60.88,,326,355,1201,,0,0,0,1541
辽阳市,Liaoyang,41.2741612904542,123.243366406513,19125.47,16299.34304,19092,16160,33.47,20.8,100,1,3357.388316,.14,8886669,48594,36161.10603536,,4774,1087,30.5,5065735,39118,557,3579,11,0,0,0,3826,21612.506,19159.685,21573.96,19040,38.506,18.96397861,102.52479846,1.0252479846,3475.68588168,.11,10004881,53876.58050619,40243.85644286,185.6,4736,1247.16,30.5,5938076,45093,496,3584,12,0,0,0,3913,24586.332,22267.682908,24542.399,22094.15168901,44.332,28.68521145,101.6855385,1.042528934100907,3966.64497567,.15,10799900,58236,43052.87598945,185.3,4736,1331.22,30.8,6963299,52009,539,3579,6,0,0,0,3984,27980.763,25609.638608,27942,25463.24231,38.763,24.35792944,101.92622884,1.062610427094903,4419.37136205,.1231,10146163,54800,46453.25356423,185,4736,1341,35.35,7148333,60003,661,3579,8,0,0,0,4087,19495.156,15832.844936,19455.53253,15680.306,39.156,24.54,101.37529546,1.077224460056226,4048.414182,.0735,10285818,55674,50716,184.6,4788,1375.57,37.67,4543208,36477,590,2611,8,0,0,0,4169,22199.693,17966.72173,22159.85155,17798.08304,39.693,25.10442,100.93124765,1.087256087525725,4028.990008,.0333,6668819.000000001,36145,54507,184.4,4788,1384.86,49.02,1978142,8390,590,2611,7,0,0,0,4181,24937.474,19993.048634,24897,19820,40.474,25.633,100.95670256,1.09765789434884,4271.321582,.0286,7629000.000000001,41449,60361,183.7,4788,1740.81,42.45,1854996,3494,590,2611,6,0,0,0,4259,26748.603,22530.350688,26714,22470.67,34.603,9.116820000000001,101.75617177,1.116934652420571,4798.254012,.0293,8030000,47422,67941,183.1,4788,1794.27,40.6,,5460,695,2611,6,0,0,0,4260,29935.357,26192.629905,29922,26156,13.357,4.7256,102.13019704,1.140727561325168,4563.95086104,.033,8309999.999999999,45498,69094,182.2,4788,1799.8,42.94,,6484,590,2611,6,0,0,0,4269
达州市,Dazhou,31.2143077239274,107.474593858975,9909.4,5010.5102452,9909,5010,.4,.079,100,1,3227.206325,.03,9571800,18474,31763.53,548.5599999999999,16580,192.88,24.39,6575700,5080,222,1063,15,0,0,0,1643,11082.8,6177.562375,11079,6170,3.8,1.198,102.8,1.028,3662.97983084,.03,10552400,20685,36332.02,547.1,16582,197.49,24.77,8042111,5308,222,1063,16,0,0,0,1550,12431.6,7522.0873102,12429,7519,2.6,.4985,102.5,1.0537,4179.90309669,.19,11591600,22632,39497.09,547.4,16582,210.77,25.46,9739589,4797,222,1063,17,0,0,0,2265,13513,9042.099448540415,13510.1,9036,2.9,.9929427199999999,102.1,1.0758277,4291.15759449,.174,12721200,24411,43388.09,547.2,16582,215,27.06,11487020,6000,222,1063,10,0,0,0,2551,15810.812,11242.92118036,15810.3,11242,.512,.1479,101.5,1.0919651155,4424.536636,.1645,13665600,24342,48672,547.6,16582,223.56,29.79,12141014,8050,222,1063,10,0,0,0,2849,19127.95,14080.07745034719,19127.9,14080,.05,.01166017,101.57178974,1.109128511149808,4213.691073,.1794,14954900,25921,53081,547,16582,225.14,37.03,14651248,5087,222,1063,13,0,0,0,3354,22330.014,17108.19517198699,22329.9,17108,.114,.02890666,101.37734517,1.124405039127223,4749.826374,1.2275,16975800,28066,50756,547.7,16582,229.73,52.14,17276500,9500,373,504,8,0,0,0,3499,28310.972,20886.25699943441,28310.8,20886,.172,.03883692,102.33514066,1.150661478378971,5881.081,1.5819,18795300,29627,57940,545.3,16582,254.57,44.97,,3095,766,1879,7,0,0,0,3531,41373.52899999999,32815.19506297749,41371.1,32811,2.429,.60811234,103.11367937,1.186489387449795,6403.63070539,.8978,20275100,35625,61582,542.2,16582,283.45,48.5,,,507,504,9,0,0,0,3905
